date,RIDGE,BOOST,OLS,ENSEMBLE,EW,BTC,MV_OPT,RISK_PARITY_ML,RISK_PARITY_EW,VOL_TARGET_EW,VOL_TARGET_ML
2024-12-05,-5.221267132291581,-9.337589779619995,-4.5843179906953235,-5.57485906940911,0.0,-1.913688859715348,-1.0450589080763808,-0.7365282018824892,-0.4645203707261782,-0.20450097637960718,-0.8792932886068016
2024-12-06,-7.417853244831391,-9.592398526179554,-6.8176305498931615,-7.804221437995751,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-07,-9.751736386224295,-9.72646908954,-9.206513597912771,-10.366961509712677,-0.07102534766130637,0.0,-1.63152179032457,-0.4065672112501362,-0.7018097979972058,-0.01182618149991674,0.0
2024-12-08,-7.274468710625238,-6.550258590905495,-6.642964126357316,-7.8167919623202256,0.0,0.0,0.0,0.0,-0.3662268207066161,0.0,0.0
2024-12-09,-7.817408560547539,-4.590434391629449,-7.189601652630895,-7.750741163347047,-13.595550910770404,-3.714551210239731,-11.599927220596577,-14.896353932403894,-16.131483331855126,-9.743527090181153,-7.400674111654575
2024-12-10,-7.244602484346868,-3.179349004179478,-6.732952368998187,-7.146914863623543,-14.813421310043976,-4.455847537684324,-12.021562916645372,-16.28799521824033,-17.478144702939332,-10.659366177347392,-8.353801644109607
2024-12-11,-8.265648019224829,-1.5233748461155894,-7.711204239949332,-7.9712336067049225,-8.300802082986412,0.0,-8.458297681393313,-10.35371688108165,-11.039620721508232,-6.533856067866105,-5.985427261762346
2024-12-13,-7.786402116484894,0.0,-7.0322420796172365,-7.362313565953565,-7.5189017935450835,0.0,-8.39653130113237,-9.866749438012398,-10.535373576444503,-6.098826581884056,-5.82210805952355
2024-12-14,-7.084976139254441,-1.7067495887651238,-6.129898621684555,-6.579893429337283,-10.613128962702506,-0.044947204905967916,-13.850662028450936,-14.601438893484678,-14.137812035177044,-8.089172001233672,-9.544052844236607
2024-12-15,-6.200503092623026,-0.5713592795025283,-5.195394016335135,-5.7752733439814135,-7.806879938209586,0.0,-9.65005350596752,-11.332170921813967,-10.98367645629524,-6.34305686823335,-7.312158364431742
2024-12-16,-3.0723317026299974,0.0,-2.238550692849708,-4.708848883594857,-9.211129062544089,0.0,-8.888742940168031,-12.850904129687871,-13.422875504799878,-7.3336564162276945,-6.892728481604286
2024-12-17,-3.0733920551915115,0.0,-2.2967483311178283,-4.721784080793635,-11.841627999948637,0.0,-11.775783084187106,-15.923506149548839,-16.527783346903306,-8.991990678393456,-8.852337157645596
2024-12-18,-3.265649058092404,0.0,-2.46185742692152,-4.720006125099246,-19.17687101321728,-5.634036784806389,-18.250988667622693,-23.505395997005035,-24.565821876315574,-13.687023034062044,-13.04531467317471
2024-12-19,-2.5873630148134588,0.0,-1.9041958320637313,-2.9427426547495044,-24.1240548703977,-8.190917166838535,-22.083251302236796,-29.187573789909415,-30.97717939761439,-16.823936048997915,-15.382310842590375
2024-12-20,-1.865284360134654,0.0,-1.197168391699596,-1.993208496233717,-20.483446174615665,-7.817769392664836,-20.476596306054265,-26.092035809996062,-27.979322006714913,-14.73479107464947,-13.264528364160903
2024-12-21,0.0,0.0,0.0,0.0,-24.136853585461292,-8.415271578048628,-18.928974241624605,-29.45661221094211,-32.12886274381436,-16.943032843578752,-14.137619139935936
2024-12-22,0.0,0.0,0.0,0.0,-23.875072326740472,-10.413699656907873,-18.67908535384439,-28.781215834041536,-31.678510246059304,-16.65581532247104,-13.326788985499588
2024-12-23,0.0,0.0,0.0,0.0,-18.800791227149357,-10.696802628835727,-13.493761550776433,-23.648126268650447,-26.487205383697376,-13.540047690251559,-10.088735086021435
2024-12-24,0.0,0.0,0.0,0.0,-15.434620047641015,-7.085522578049533,-8.831038974305008,-19.839876179952896,-23.006145004910728,-11.53435262979202,-7.333058300683399
2024-12-25,0.0,0.0,-0.12336784679859027,-0.12336784679859061,-16.59994511299181,-6.384925754132191,-8.892602056402907,-21.413791254509835,-24.735195510512558,-12.286698841458499,-8.032339369666657
2024-12-26,0.0,-0.04670213606418375,0.0,0.0,-21.271995578479686,-9.82635973605291,-10.775086963823039,-26.23432156833538,-29.80565607251592,-15.07354837210343,-10.534408677828685
2024-12-27,-3.625872371741984,-1.5090487547538116,-3.5196185303703107,-3.550095615560077,-21.58017498654641,-11.264512314841328,-16.841260230147306,-26.43192644676475,-29.45790214326755,-15.232801928297905,-11.582572601991323
2024-12-28,-3.191050171504283,-2.8639032959449544,-3.135079105002393,-3.0612106580797858,-19.411894201699806,-10.371751280371647,-13.652081815750726,-23.802246815045958,-26.704746065231372,-13.876681656641319,-10.2099433151456
2024-12-29,-1.9634914922187785,-2.9676367089419617,-1.7884588054751756,-1.5889992026813187,-22.284850914827484,-11.824385669174209,-15.006197248575623,-26.634003361747403,-29.894325701100094,-15.557945824236608,-11.310761615286003
2024-12-30,-1.331723898147137,0.0,-1.155563264467526,-0.7937924860981808,-22.574016592429235,-12.713081783550132,-14.969710797285227,-27.054189751594016,-30.513131209234672,-15.724961042345425,-11.223509473820522
2024-12-31,-0.7600108725294662,0.0,-0.8198542423687859,-0.18596627580730196,-23.321438350749876,-11.98765824628565,-15.713742605504757,-28.0430217039658,-31.62945667976036,-16.203450924216018,-11.613357346868561
2025-01-01,-2.285182854812788,-3.1605615792939807,-2.344106520490431,-1.7199604752552913,-20.335073462332957,-11.036115585055079,-11.98376300929441,-24.403212555038863,-27.749168395418742,-14.403365696261183,-9.679145441931372
2025-01-02,-1.3549440449583814,-1.9969228816897548,-1.3183137746100153,-0.7843407844963879,-17.40632544976664,-8.712074355916782,-12.12971884213403,-21.521500544570564,-24.99729661380364,-12.551459157285628,-7.777858910875003
2025-01-03,-2.7330141691100267,0.0,-2.7952675319231637,-1.8216034802270786,-12.597343421419726,-7.56137892581652,-8.105970975750378,-16.31410876494795,-19.426160447913563,-9.69815411567819,-4.8980345133248795
2025-01-04,-3.6886879719389793,0.0,-3.7844549247082706,-2.0005481764188433,-12.141406108949775,-7.4904123154060365,-9.629855928827128,-16.38290760851982,-19.35680284161767,-9.468641592847195,-5.188788368668122
2025-01-05,-4.412821708929125,-1.4533697390217084,-4.389057816957822,-2.603416306586121,-12.32552344594426,-7.367576067981532,-10.13643852876608,-16.59526780225569,-19.54771170359227,-9.616334680435466,-5.362039232666828
2025-01-06,-6.252645115731785,-4.703934130800598,-6.089149785348635,-4.686011907550332,-11.077001894175236,-3.662076895606868,-9.401447403942472,-15.40209732553468,-18.199392330801462,-8.862623572693048,-4.807375147593474
2025-01-07,-4.055879415048212,-1.0157412646845683,-3.9734999441225027,-2.5387517846411263,-18.673406512719158,-8.66000013908878,-12.033133690881636,-23.33775729503319,-26.682672281462132,-13.266424640690245,-8.9440834921287
2025-01-08,-2.759646855562448,-0.3078945053720987,-2.7056081154530944,-1.2138010454779045,-21.137319182172316,-10.43769963985812,-13.03839935205814,-25.83167027603065,-29.315151235240066,-14.742041692995214,-10.345332208877494
2025-01-09,-1.499940688036485,-5.3299860367486405,-2.0030010725340617,-0.8012321720367618,-24.181204417575472,-12.79836406515341,-14.694650361068362,-28.28288774681281,-31.78069184573038,-16.52084632774548,-12.098256870061661
2025-01-10,-3.155291172085828,-7.5346892501603895,-3.6498973357758224,-2.471473310620998,-22.352396207558815,-10.768819977584126,-12.377871712554272,-26.47246144333119,-29.953812568732513,-15.370004210404534,-10.840633059165675
2025-01-12,-2.421001047522383,-9.540525791833828,-2.894719748173601,-1.7691045903899447,-23.624939530400347,-10.827837557077851,-13.53430762685408,-28.07630762471376,-31.60944549955524,-16.13702108185603,-11.73251276492918
2025-01-13,-3.033182652491599,-7.678841981453706,-3.582085211866784,-2.5395135386736643,-25.922940397694198,-10.810384393678778,-16.331754486390288,-29.805374815061935,-33.635013648812055,-17.54830410767378,-12.208621112896582
2025-01-14,-4.33862369982204,-7.77868130182343,-4.648588539000369,-3.7204572390217265,-22.677684722845132,-8.912800903729819,-14.59875743174252,-26.55734233711965,-30.625193790494077,-15.481633147288337,-9.464041933506422
2025-01-15,-6.892842330772562,-7.849941592691639,-7.2006404099520775,-6.149353003279601,-17.321718712717026,-5.181472655842521,-13.64322131817423,-21.502538857946547,-24.722760188305436,-12.222061669537519,-8.054392010351778
2025-01-16,-6.878202613101518,-5.467841007403384,-7.177467080160009,-6.042291068392899,-18.067217840352722,-5.668065687506531,-12.987561466291123,-21.89142531187209,-25.282029292173082,-12.67206328553295,-8.01464176503334
2025-01-17,-7.179093700649254,-2.2101546327439214,-6.080062605511049,-5.028986944945913,-12.370039340776161,-1.780241125708204,-7.001636101568617,-15.838742918507137,-19.220613364474453,-9.117176293361295,-4.792229112207657
2025-01-18,-9.142695036425575,0.0,-8.084835067592996,-6.825257318583759,-16.503721978178987,-1.4720207141156314,-9.591844786833027,-20.287525386934277,-24.518815031182257,-11.497884614578517,-6.1202703435079355
2025-01-19,-11.493070242754614,0.0,-10.51615963286184,-8.603937849780023,-23.13867599908676,-4.442496388672827,-14.78366226443325,-27.111950887383184,-31.25695836626059,-15.363333098974458,-10.018573162961172
2025-01-20,-14.117178936290129,-0.5435567756386075,-13.060328985890093,-11.268477358134572,-22.787922888073116,-3.5598578288316634,-18.967717094849856,-26.862639431127207,-30.639708473445737,-15.047481352001999,-10.472648269389904
2025-01-21,-13.916513147348752,-1.5172955740345289,-13.295058923457287,-11.446318440992945,-20.373189188189045,0.0,-12.972987426049212,-24.40617667310424,-28.603460160648975,-13.648848799832642,-8.253057367566257
2025-01-22,-12.370746734578038,0.0,-11.716760580341408,-9.850599420874266,-22.134885441985176,-2.350578542380615,-15.116467201957843,-25.859004702662425,-29.974484448610404,-14.695417312813888,-9.255965883476637
2025-01-23,-10.418143160220964,0.0,-9.916724748660275,-7.019002230723746,-22.061433284780488,-2.0958455865571515,-15.576291491737763,-24.789161697226156,-28.907586579081507,-14.567257244222557,-8.61950163576148
2025-01-24,-9.702049179094743,-0.5544958283595566,-9.162766421089065,-6.234643613499201,-23.39263865346097,-1.2067800351816946,-19.915314135419358,-26.59295498565108,-30.7324560917568,-15.319618966828907,-9.649864003708512
2025-01-25,-9.072362569698237,0.0,-8.49249654070325,-5.6869604361576425,-22.35402048036546,-1.3105812388896327,-16.895318495892575,-24.904119220885622,-28.957143612958784,-14.670949330727613,-8.83683930592444
2025-01-26,-8.814865982007632,0.0,-8.2799986107343,-5.53953327627994,-24.122000825383214,-3.3726370013853653,-19.154228767890665,-26.395830516978215,-30.439055684847233,-15.759251509067088,-9.767138897817494
2025-01-27,-9.7756874623007,0.0,-9.24645601035745,-6.678873034654422,-25.815458900080003,-3.8587838432416963,-21.525452897495022,-28.360413786549522,-32.27775509849104,-16.871778406197336,-11.225140959653464
2025-01-28,-11.17891378057578,0.0,-10.64402938127315,-8.247297997230293,-29.948609372119332,-4.6029322066395855,-26.354553679591614,-33.41308575328553,-37.357256995803446,-19.45935449773113,-14.255059652608024
2025-01-29,-10.079606828549133,0.0,-9.310365599414125,-6.940753445102754,-27.8435174369714,-2.3004133255926793,-24.53170489461927,-30.745399444573778,-34.582752445351545,-18.0804322254213,-12.788785102335067
2025-01-30,-8.186840046419386,0.0,-7.286324609863158,-5.2234100079099,-24.225659516756917,-1.3167151063102867,-21.12214082352461,-26.933083997013117,-30.675794628708026,-15.647457951323934,-10.650386556602646
2025-01-31,-9.044406436610872,-2.4877900352633464,-8.134424328959511,-6.492912863284604,-24.31722623077276,-3.511270466058009,-21.225043960432615,-27.185837170596404,-30.775232258597036,-15.709873437994187,-11.069226283484864
2025-02-01,-8.485794303324345,-4.898974892347018,-7.570223456965529,-6.453051776873403,-30.70017990482142,-5.233236407899516,-27.23939966050622,-34.632836556472625,-38.47305567283027,-19.760501244141455,-15.208646808855237
2025-02-02,-7.685582568804375,0.0,-6.95459807574755,-4.998201180318454,-37.87959909719848,-8.013478997569104,-27.8623909651609,-41.23666395957759,-45.637494549584474,-24.510804146887192,-18.11272696832588
2025-02-03,-3.744418233459182,0.0,-3.2135363849204546,-1.0601001280039888,-34.68251501598271,-4.474820142664944,-20.142782483423737,-37.34878429147053,-42.316915780160805,-22.354850058490985,-14.933002909399049
2025-02-04,-2.3552307132362618,0.0,-1.8166870291429758,-0.03835076340310393,-38.65223739142613,-7.895324037451598,-24.643496980935108,-41.9460443916134,-46.639172159820774,-24.939678537696707,-18.17050733640943
2025-02-05,-4.645778444739797,-2.4377162246707442,-4.234692080724612,-2.4917433653479457,-40.285756198570134,-9.005596093885575,-27.58136949480684,-44.00763219596329,-49.031367061523056,-26.03093259485355,-18.577444974160606
2025-02-06,-3.9626846841576824,-1.0282508168905014,-3.5486534003923444,-1.4416427378268915,-42.589912622690235,-9.048377157526772,-30.351329048702326,-47.02445051755363,-52.22594796524748,-27.553506611465924,-19.98101555353352
2025-02-07,-3.3535145307586216,-2.630768588381114,-2.8533782013365365,-0.9363159500416656,-42.40892370947979,-9.086078843449005,-29.390678091193497,-46.88815859326919,-52.11071484141836,-27.39535549411139,-19.855688590002014
2025-02-08,-2.2172851688386945,-2.4283446582591406,-1.5672997055923128,0.0,-40.7033629523054,-9.143032848427932,-23.03462897753736,-44.26654577293333,-49.683003189533196,-26.172390163888764,-17.898033521796
2025-02-09,-1.6587788868768008,-3.6965086175707818,-1.0050808966768254,0.0,-41.00770138470769,-9.120920178536137,-21.248982992863436,-44.139137827905124,-50.30800129284867,-26.33757413658866,-16.462089982449335
2025-02-11,-2.6994308848313575,-6.278133295244494,-2.052650361303652,-1.4717195598872377,-41.144333023674456,-10.67081559932275,-22.328836398973557,-44.6701009026824,-50.80653513629301,-26.58079543764365,-16.876371405443617
2025-02-12,-1.8646348302442821,-7.599913939348377,-1.2123052145156228,-0.6314761438645965,-38.44991437224551,-8.724749654644597,-16.85078528119871,-41.572764906393175,-48.02815367299285,-24.60965167183447,-14.315659330868701
2025-02-13,-4.816599174865248,-8.132927567633342,-4.2887229016159125,-4.046416464543361,-40.04588656911167,-9.877374623604155,-19.260247919490695,-43.39554290992073,-49.65818306794449,-25.639537429823605,-15.81265701740057
2025-02-14,-5.848056440787462,-9.494189319353719,-5.325900511766539,-4.637013764612192,-38.22500210285206,-9.061767281650887,-17.662550059084065,-41.36320056854595,-47.71692971194428,-24.371001482640338,-14.397254292035056
2025-02-15,-5.58232262883923,-7.7929959617956275,-5.058692970437853,-4.3656089797637225,-39.66226189141182,-8.978768479308174,-17.967621960753064,-42.90763151137631,-49.66930656678832,-25.29952033292985,-14.423797573725663
2025-02-16,-5.2970523709984585,-7.420928925490407,-4.771840636318304,-3.911731993911675,-40.18510220898989,-10.363239567336885,-18.027717847966585,-43.78205341185312,-50.6291533378952,-25.75177166524168,-14.753906846979941
2025-02-17,-5.653374017786205,-10.099051133763085,-5.130138402275501,-4.343366829349115,-40.36242195068937,-10.661788903329763,-18.87694844306822,-44.28885853796751,-51.19558581704832,-25.943499057573504,-14.912951695257085
2025-02-18,-2.2852810964078816,-7.925245674874988,-1.7433664221129686,-1.2347704677583933,-42.37817857056434,-10.816009658346037,-18.816104376135364,-46.80049783597104,-54.117558931246165,-27.473588824674195,-15.42621926577567
2025-02-19,-1.486551191745214,-6.053265225714506,-0.9582615042023032,-0.6608035521876483,-41.08580303667763,-9.871539762481381,-12.966806570745435,-45.787629148369916,-53.54352609718741,-26.625190046283215,-13.74944271940447
2025-02-20,-1.138967867092156,-5.997826022742492,-0.6088142240366071,-0.5224759985607815,-38.521637376821786,-8.313689321357396,-9.545457223403533,-42.70909861353501,-50.516185201040955,-25.008807037317553,-11.838648945873782
2025-02-21,-1.0092865515946077,-5.201795778681402,-0.47843747758548,-0.5874599765903232,-40.680620994036126,-10.366754543737104,-11.378615761726806,-44.72494964635246,-52.32519456498023,-26.58719750627554,-13.529859304243741
2025-02-22,-0.8605488199866571,-4.211079402236708,-0.32890212280314646,-0.403142275144144,-38.900214050859525,-9.962460626246104,-7.5021459965926365,-42.40299143797732,-50.17736788810293,-25.18366413497235,-11.738703205153046
2025-02-23,-0.02195377777950584,-2.990794796389674,0.0,0.0,-39.42568345886672,-10.237167869856673,-8.165585745656905,-43.074011903080695,-50.89495080918023,-25.53858628953296,-12.00236387187061
2025-02-24,0.0,0.0,0.0,0.0,-45.88857060518512,-14.606682485598368,-16.406845592072443,-50.48791993681174,-57.867165103487416,-30.74415490357933,-17.41720475642058
