,RIDGE,BOOST,OLS,ENSEMBLE,EW,BTC,MV_OPT,RISK_PARITY_ML,RISK_PARITY_EW,VOL_TARGET_EW,VOL_TARGET_ML
2024-09-18,0.03827258163005392,0.020272225708794306,0.03827258163005392,0.03842319738246889,0.028856667135203327,0.0237400527491875,0.041983935668380684,0.050400796672016406,0.05491845582272045,0.020012995667355288,0.022137895993459878
2024-09-19,0.027523958676760885,0.0065616094753275095,0.027523958676760885,0.027523958676760885,0.036059462873912436,0.0193039061815358,0.03598044007417783,0.040816689473912655,0.06550819409129785,0.024737365441502304,-0.010174779715740656
2024-09-20,0.003948148374278815,-0.015474937082897744,0.0027775371085507275,0.0028842520626862506,0.018104148232254615,0.0040121947798585,0.02536375925219639,0.019375846314431018,0.018843565813487947,0.01268939136240872,0.012051197108277859
2024-09-21,0.009464623558680286,-0.017231667388457137,0.009691466531931313,0.009821348381090153,0.020501230084011564,0.0025431019113841,0.01635826545128296,0.017872448524080507,0.019110276207136005,0.01409352424466073,0.007735652341256218
2024-09-22,0.011645717808894271,-0.010378239264839818,0.013574951726524877,0.010584262057791788,-0.016779682743224097,0.0034150096172096,0.006026544750990975,-0.019006943226463142,-0.02402654252270542,-0.011495782990568304,-0.0035801053629067963
2024-09-23,0.017227571519091392,0.01513929620315655,0.013938527860781293,0.013938527860781293,0.027328219128198748,-0.0038390016086637,0.057177535999126075,0.041248102600247805,0.04276227429050705,0.019054026211830652,0.02393551085933774
2024-09-24,-0.009391411916711907,0.01086683052347007,-0.008914972448790345,-0.009391411916711907,0.02683404884268989,0.0150217917007864,0.019431548975697068,0.040668034396010175,0.04772871220498855,0.018574064402345138,0.014881126232976737
2024-09-25,-0.009265852703724846,0.04092390770242946,-0.009265852703724846,-0.009129515019717914,-0.006535714824318344,-0.0179524584185792,-0.01442520173208686,0.010525956285127558,0.01726466573363327,-0.004396822253675402,-0.003118767937285028
2024-09-26,0.02656192117080083,0.01826731109793639,0.028950679926405546,0.02656192117080083,0.04762040398306893,0.0323982364875716,0.060732593616618896,0.0659639438547884,0.07184225247708337,0.0329412067333361,0.03016486257891076
2024-09-27,0.014515569561900893,0.0015314166102767916,0.014652562025127013,0.015035264729996563,0.027184792539616507,0.0093114468927726,0.008212833291249479,0.03643100956052331,0.03973052153214006,0.018814053038948952,0.01631381436490538
2024-09-28,0.009675670583488479,0.008943157951724984,0.010281630811122032,0.009034770563478081,-0.013334738464751241,0.0013080647841499,0.00779322303959199,-0.010480738860316717,-0.006233979323135514,-0.009190128242624763,-0.011167223130340593
2024-09-29,0.02984607508991615,0.004819829904428285,0.02984607508991615,0.02984607508991615,0.008850293441208027,-0.003956896527397,0.02616563883290406,0.018880944909151376,0.017974663097385768,0.006139474745840997,0.011007159619618118
2024-09-30,-0.01607281505445251,0.01871803950436511,-0.017104154074990968,-0.014573012276921593,-0.043487773691754085,-0.0349512302612649,-0.03202300613397439,-0.04095988047641838,-0.03638235144404614,-0.029930006994586256,-0.026487537947988686
2024-10-01,-0.0179888831018098,-0.0009666072890428257,-0.020168608340721247,-0.019801146244573804,-0.05998125970711665,-0.0395711357334518,-0.05571040260705852,-0.07392964913677166,-0.07131843146012352,-0.040852325186356106,-0.041361292312558924
