date,Overall,ADA,BNB,BTC,ETH,Meme,Mixed,SOL,TON,USDC,USDT,XRP
2023-08-23,68.5719,93.1250,53.3668,48.3250,95.1750,84.3410,53.1537,69.0900,,,,96.2578
2023-08-24,73.3760,,63.4750,95.2074,55.6177,97.1741,52.2684,54.0735,,,76.3350,89.0551
2023-08-25,68.9105,,33.1750,56.0075,44.1437,67.6488,59.6498,34.2650,,,,64.8408
2023-08-26,63.8208,4.3500,,57.6345,90.3950,78.6328,93.8433,,,,,85.4897
2023-08-27,70.0919,79.5027,89.7050,77.9672,64.4468,58.0800,58.2084,,95.6527,,,74.6950
2023-08-28,65.0808,,,70.2146,60.7571,56.9359,79.6198,,,,,75.6108
2023-08-29,74.8535,57.4301,3.7250,81.8863,85.9413,91.4647,89.1638,,,,,75.7771
2023-08-30,73.4467,,,70.7075,71.2964,53.9272,90.6666,,,65.9100,,77.6568
2023-08-31,83.4689,,8.8750,90.3086,62.4911,93.9051,94.1760,,,,,94.9954
2023-09-01,73.0981,93.7500,2.5350,84.7546,,81.4720,50.8475,,,,,44.4185
2023-09-02,68.0554,,,57.9447,63.2873,,79.8322,,,,,62.9092
2023-09-03,66.8355,,,71.5751,60.4868,71.6555,68.6445,15.9600,,,,77.2925
2023-09-04,76.4893,49.9038,,78.8859,76.4145,92.5764,75.8824,87.8950,89.1750,,98.2400,42.5754
2023-09-05,77.3189,,75.5300,45.8828,95.7856,80.3201,95.5875,99.5100,,,92.7750,68.4675
2023-09-06,81.3497,90.9100,,73.7271,97.9546,86.9621,98.5838,93.0097,85.6850,,,48.5440
2023-09-07,64.0599,77.8559,6.0200,77.5146,71.1818,42.3450,85.5546,96.9650,93.8950,,,76.5964
2023-09-08,78.6663,92.0100,,84.7325,48.8315,89.7752,96.5272,54.5321,,,99.7200,78.4354
2023-09-09,71.1331,,,51.1660,35.0043,78.9666,96.7089,7.5100,,,,92.3778
2023-09-10,60.1099,,,42.1368,22.8850,72.5216,65.9757,,,,,95.1278
2023-09-11,49.5386,,75.2000,30.6170,1.9100,91.3550,42.8928,20.3000,,,,62.3870
2023-09-12,52.2216,,,65.4265,47.9605,52.9863,67.5745,93.5900,,,,50.1362
2023-09-13,80.5991,,97.8250,67.9235,68.5036,,98.8634,94.4250,87.2020,,,57.8053
2023-09-14,87.1987,,53.8600,82.3942,85.2834,94.0350,98.8528,,,,,83.4729
2023-09-15,80.4046,,93.2900,83.9284,94.6700,98.3900,87.7510,36.2886,,,72.9400,79.4639
2023-09-16,66.2884,,,74.2077,,88.2500,66.7570,,99.8000,,,68.8904
2023-09-17,68.4316,,10.7750,60.9656,89.4350,,82.6086,,,,,79.2950
2023-09-18,74.9084,,,74.3740,89.8210,82.9850,94.9619,94.2535,,,,49.3925
2023-09-19,63.4773,49.9530,21.1800,84.6423,81.1628,,57.0619,92.3100,,88.2500,,63.0242
2023-09-20,79.2234,,,84.0308,66.4580,72.2394,98.8353,20.0300,,68.0600,,69.2508
2023-09-21,61.5160,77.9425,,78.1221,87.4221,89.5300,29.7308,,,,,77.1133
2023-09-22,80.8040,20.0300,28.5050,53.5121,97.7986,85.6181,90.4553,55.8450,,,,87.9063
2023-09-23,68.0915,,,56.9806,69.3664,96.2504,71.2393,,47.4200,,,75.7081
2023-09-24,64.5692,79.2950,,55.9952,88.2954,48.5615,,,,,,81.8197
2023-09-25,56.3843,,,71.8587,73.5537,30.1496,62.3802,,,,,85.3471
2023-09-26,66.8511,,,73.6880,54.4856,26.6229,98.3344,,,,76.1800,29.1634
2023-09-27,66.2103,,58.4220,37.3112,50.1953,83.7975,83.4338,,,,,
2023-09-28,75.3096,,,51.9496,90.3189,96.0050,80.0994,,,,,84.1873
2023-09-29,67.5443,93.1250,,71.1884,78.6315,,94.0601,25.1700,,,99.8200,46.7041
2023-09-30,61.8075,,,83.3490,73.5522,39.4745,66.4338,,31.9400,,,92.7026
2023-10-01,65.0582,,89.8200,65.7419,50.9229,75.5300,59.2252,96.5650,,,,23.9952
2023-10-02,79.1069,94.8250,,61.8289,88.1960,95.4050,92.2283,89.8992,97.6200,,,72.7210
2023-10-03,58.0419,10.1800,,69.7569,58.8357,54.5154,94.7088,30.2200,,,,26.4186
2023-10-04,74.2107,76.2743,,92.7482,,,,55.1350,,,,89.3059
2023-10-05,74.9765,,,64.8905,99.3442,43.5921,65.6848,,,,84.5400,63.9497
2023-10-06,74.6177,22.1300,88.1100,66.5831,83.8759,75.2169,81.8853,98.5600,98.7950,,,77.6260
2023-10-07,64.3199,68.0600,,81.7432,96.0050,86.8184,80.7448,88.9150,,,,80.8194
2023-10-08,90.3185,,,74.1393,83.4586,80.2450,99.8972,,,,,60.8419
2023-10-09,71.7878,,,29.2114,88.9150,7.9808,95.5740,,87.8950,,,44.3397
2023-10-10,47.4443,,,61.7926,41.0593,66.8382,32.6984,66.2319,3.3150,,43.3700,77.3986
2023-10-11,69.5880,,,69.8127,58.3170,8.8750,94.9347,76.4144,,,,80.3435
2023-10-12,81.4492,,5.4500,92.2902,78.4995,41.3968,87.0913,,,,,79.5679
